Sentences,Subject,Object,Verb,tense
	භූපතිනො අස‍්සො මග‍්ගො ධාවි	,	භූපතිනො අස‍්සො	,	මග‍්ගො	,	ධාවි	,Past
	චොරා අධිපතිනො නිධිං හරිංසු	,	චොරා	,	අධිපතිනො නිධිං	,	හරිංසු	,Past
	සුසවො කටච‍්ඡූනා ඔදනං ආහරිංසු	,	සුසවො	,	ඔදනං	,	ආහරිංසු	,Past
	මුනයො  මඤ‍්චෙසු නිසීදිංසු	,	මුනයො	,	මඤ‍්චෙසු	,	නිසීදිංසු	,Past
	මයං සත‍්තවො සෙතුම‍්හි නිසීදිංසු	,	මයං	,	සත‍්තවො 	,	නිසීදිංසු	,Past
	අම‍්හාකං භාතරො ච පිතරො ච සින්‍ධුං ගච‍්ඡිංසු	,	භාතරො ච පිතරො ච	,	සින්‍ධුං	,	ගච‍්ඡිංසු	,Past
	අහං දීපම‍්හි අචරිං	,	අහං	,	දීපම‍්හි	,	අචරිං	,Past
	චොරා ගහපතිනො නිධිං චොරෙසුං	,	චොරා	,	ගහපතිනො නිධිං	,	චොරෙසුං	,Past
	මයං භූපතිනො අසිං ඔලොකයිම‍්හ	,	මයං	,	භූපතිනො අසිං	,	ඔලොකයිම‍්හ	,Past
	ත්‍වං අත්‍ථිනො ආහාරං දදො	,	ත්‍වං	,	අත්‍ථිනො ආහාරං	,	දදො	,Past
	අධිපති වාණිජම‍්හා මණයො කිණි	,	අධිපති	,	වාණිජම‍්හා මණයො	,	කිණි	,Past
	පති කස‍්සකං විහිං යාචි	,	පති	,	කස‍්සකං	,	යාචි	,Past
	ඉසයො කවීනං ධම‍්මං දෙසෙසුං	,	ඉසයො	,	කවීනං ධම‍්මං	,	දෙසෙසුං	,Past
	කපයො ගිරිම‍්හා රුක‍්ඛං ධාවිංසු	,	කපයො	,	ගිරිම‍්හා රුක‍්ඛං	,	ධාවිංසු	,Past
	වාණිජා උද‍්ධිම‍්හි ගච‍්ඡිංසු	,	වාණිජා	,	උද‍්ධිම‍්හි	,	ගච‍්ඡිංසු	,Past
	භික‍්ඛවො තදා භගවතො පාදෙ වන්‍දිංසු	,	භික‍්ඛවො	,	භගවතො පාදෙ	,	වන්‍දිංසු	,Past
	මයං මග‍්ගෙන ගාමං ගච‍්ඡිම‍්හ	,	මයං	,	ගාමං	,	ගච‍්ඡිම‍්හ	,Past
	පුරා මයං බන්‍ධූහි සහ හිමවන‍්තං ගච‍්ඡිම‍්හ	,	මයං	,	බන්‍ධූහි සහ හිමවන‍්තං	,	ගච‍්ඡිම‍්හ	,Past
	දීපං කපිං මාරෙසි	,	කපිං	,	දීපං	,	මාරෙසි	,Past
	තුම‍්හෙ පතිනො දීපෙ ගණ‍්හිත්‍ථං 	,	තුම‍්හෙ	,	පතිනො දීපෙ	,	ගණ‍්හිත්‍ථං	,Past
	අහං බුද‍්ධස‍්ස පාදෙ පූජෙසිං	,	අහං	,	බුද‍්ධස‍්ස පාදෙ	,	පූජෙසිං	,Past
	කවයෙ කපීනං ආහාරං දදිංසු 	,	කවයෙ	,	කපීනං ආහාරං	,	දදිංසු 	,Past
	අරයො අසිං ආනෙසුං 	,	අරයො	,	අසිං	,	ආනෙසුං	,Past
	අහි කපිනො පාණිං ඩසි	,	කපිනො	,	පාණිං	,	ඩසි	,Past
	මයං ගිරිම‍්හා වන්‍දං පස‍්සාම	,	මයං	,	 ගිරිම‍්හා	,	වන්‍දං පස‍්සාම	,Past
	තුම‍්හෙ මුනීනං ආහාරං දදිත්‍ථ	,	තුම‍්හෙ	,	මුනීනං ආහාරං	,	දදිත්‍ථ	,Past
	භූපති නිධයො පාලෙසි	,	භූපති	,	නිධයො	,	පාලෙසි	,Past
	මුනයො මඤ‍්චෙසු නිසීදිංසු	,	මුනයො	,	මඤ‍්චෙසු	,	නිසීදිංසු	,Past
	අහං දීපම‍්හි අචරිං	,	අහං	,	දීපම‍්හි	,	අචරිං	,Past
	චොරා ගහපතිනො නිධිං චොරෙසුං	,	චොරා	,	ගහපතිනො නිධිං	,	චොරෙසුං	,Past
	මයං භූපතිනො අසිං ඔලොකයිම‍්හ	,	මයං	,	භූපතිනො අසිං 	,	ඔලොකයිම‍්හ	,Past
	ත්‍වං අත්‍ථිනො ආහාරං දදො	,	ත්‍වං	,	අත්‍ථිනො ආහාරං	,	 දදො	,Past
	අධිපති වාණිජම‍්හා මණයො කිණි	,	අධිපති	,	වාණිජම‍්හා මණයො 	,	කිණි	,Past
	පති කස‍්සකං විහිං යාචි	,	පති	,	කස‍්සකං	,	යාචි	,Past
	ඉසයො කවීනං ධම‍්මං දෙසෙසුං	,	ඉසයො	,	කවීනං ධම‍්මං	,	දෙසෙසුං	,Past
	කපයො ගිරිම‍්හා රුක‍්ඛං ධාවිංසු	,	කපයො	,	ගිරිම‍්හා රුක‍්ඛං	,	ධාවිංසු	,Past
	වාණිජා උද‍්ධිම‍්හි ගච‍්ඡිංසු	,	වාණිජා	,	උද‍්ධිම‍්හි	,	ගච‍්ඡිංසු	,Past
	අම‍්හාකං පිතරො සත‍්තුනං කෙතවො ආහරිංසු	,	පිතරො	,	සත‍්තුනං	,	ආහරිංසු	,Past
	මයං මග‍්ගෙන ගාමං ගච‍්ඡිම‍්හ	,	මයං	,	ගාමං	,	ගච‍්ඡිම‍්හ	,Past
	දීපං කපිං මාරෙසි	,	කපිං	,	දීපං	,	මාරෙසි	,Past
	තුම‍්හෙ පතිනො දීපෙ ගණ‍්හිත්‍ථං	,	තුම‍්හෙ	,	පතිනො දීපෙ	,	ගණ‍්හිත්‍ථං	,Past
	අහං බුද‍්ධස‍්ස පාදෙ පූජෙසිං	,	අහං	,	බුද‍්ධස‍්ස පාදෙ	,	පූජෙසිං	,Past
	කවයෙ කපීනං ආහාරං දදිංසු	,	කවයෙ	,	කපීනං ආහාරං	,	දදිංසු	,Past
	අරයො අසිං ආනෙසුං 	,	අරයො	,	අසිං	,	ආනෙසුං 	,Past
	අහි කපිනො පාණිං ඩසි	,	අහි	,	පාණිං	,	ඩසි	,Past
	මයං ගිරිම‍්හා වන්‍දං පස‍්සාම	,	මයං	,	ගිරිම‍්හා	,	වන්‍දං පස‍්සාම	,Past
	තුම‍්හෙ මුනීනං ආහාරං දදිත්‍ථ	,	තුම‍්හෙ	,	මුනීනං ආහාරං	,	දදිත්‍ථ	,Past
	භූපති ගාමං පාලෙසි	,	භූපති	,	ගාමං	,	පාලෙසි	,Past
	තදා බලවන‍්තා අරි වෙලුහි පහරිංසු	,	බලවන‍්තා	,	අරි	,	පහරිංසු	,Past
	විදුනො ඉදානි කුලවතො ගෙහං ගච‍්ඡිංසු	,	විදුනො	,	කුලවතො ගෙහං	,	ගච‍්ඡිංසු	,Past
	කුලවතං භාතරෙඃ ධනවන‍්තො න භවිංසු	,	කුලවතං	,	භාතරෙඃ ධනවන‍්තො	,	න භවිංසු	,Past
	භීයො සායං බුද‍්ධිමන‍්තො සසවතං ගාමං ගච‍්ඡිංසු	,	භීයො	,	සසවතං ගාමං	,	ගච‍්ඡිංසු	,Past
	අම‍්හාකං පිතරො සතිමන‍්තො අභවිංසු	,	අම‍්හාකං	,	පිතරො	,	අභවිංසු	,Past
	පියදාසො පාණිනා මණිං ගණ‍්හි.	,	පියදාසො	,	මණිං 	,	ගණ‍්හි	,Past
	තුම‍්හෙ අතිථීනං ආහාරං දදිත්‍ථ	,	තුම‍්හෙ	,	අතිථීනං ආහාරං	,	දදිත්‍ථ	,Past
	යාචකස‍්ස හරියා මග‍්ගො ධාවි	,	යාචකස‍්ස	,	මග‍්ගො	,	ධාවි	,Past
	සිස‍්සා පරිවෙණං පීඨානි හරිංසු	,	සිස‍්සා	,	පරිවෙණං පීඨානි	,	හරිංසු	,Past
	අහං දීපම‍්හි සබ‍්බත්‍ථ අචරිං	,	අහං	,	දීපම‍්හි සබ‍්බත්‍ථ	,	අචරිං	,Past
	නුස‍්සො ගාමං ගච‍්ඡි	,	නුස‍්සො	,	ගාමං	,	ගච‍්ඡි	,Past
	කස‍්සකා ඛෙත‍්තං කසිංසු	,	කස‍්සකා	,	ඛෙත‍්තං	,	කසිංසු	,Past
	ත්‍වං පොත්‍ථකං අපඨො	,	ත්‍වං 	,	පොත්‍ථකං	,	අපඨො	,Past
	තුම‍්හෙ ඔදනං අප චිත්‍ථ	,	තුම‍්හෙ	,	ඔදනං	,	අප චිත්‍ථ	,Past
	අහං සිප‍්පං අඋග‍්ගහිං	,	අහං	,	සිප‍්පං	,	අඋග‍්ගහිං	,Past
	මයං රූපානි පස‍්සිම‍්හ	,	මයං	,	රූපානි	,	පස‍්සිම‍්හ	,Past
	උපාසකො බුද‍්ධං වන්‍දි	,	උපාසකො	,	බුද‍්ධං	,	වන්‍දි	,Past
	උපාසකා බුද‍්ධ වන්‍දංසු	,	උපාසකා	,	බුද‍්ධ	,	වන්‍දංසු	,Past
	භික‍්ඛු රාජං ඔවදී	,	භික‍්ඛු	,	රාජං	,	ඔවදී	,Past
	භික‍්ඛවො රාජානො ඔවදිංසු 	,	භික‍්ඛවො	,	රාජානො	,	ඔවදිංසු	,Past
	අසප‍්පුරිසො භික‍්ඛුං ගරහි	,	අසප‍්පුරිසො	,	භික‍්ඛුං	,	ගරහි	,Past
	අසප‍්පුරිසා භික‍්ඛවෙ ගරහිංසු	,	අසප‍්පුරිසා	,	භික‍්ඛවෙ	,	ගරහිංසු	,Past
	විසාල උය්‍යාන උටෙච‍්චහි ආරූහි පක‍්තාති ච අපක‍්කාති ච ඵලානි පතිංසු	,	ඵලානි	,	විසාල උය්‍යාන	,	පතිංසු	,Past
	මූසිකා තිඛිණාහි දායාහි ජාලං කත‍්තිංසු	,	මූසිකා	,	ජාලං	,	කත‍්තිංසු	,Past
	සුසීලා සිස‍්සා සුසීලස‍්ස ආචරියස‍්ස චිත‍්තං ආරාමධසුං	,	සුසීලා සිස‍්සා	,	චිත‍්තං	,	ආරාමධසුං	,Past
	උපාසකා විහාරං ගච‍්ඡිංසු	,	උපාසකා 	,	විහාරං	,	ගච‍්ඡිංසු	,Past
	බුද‍්ධා ජෙතවනං අගමිංසු	,	බුද‍්ධා	,	ජෙතවනං	,	අගමිංසු	,Past
	කුමරා හත්‍ථෙ ධොවිංසු	,	කුමරා	,	හත්‍ථෙ	,	ධොවිංසු	,Past
	බාලකා පොත්‍ථකානි පඨිංසු	,	බාලකා	,	පොත්‍ථකානි	,	පඨිංසු	,Past
	වාණිජා භණ‍්ඩානි කිණිංසු	,	වාණිජා	,	භණ‍්ඩානි	,	කිණිංසු	,Past
	තාපසා වනෙ චරිංසු	,	තාපසා	,	වනෙ	,	චරිංසු	,Past
	සීහා මිගෙ මරිංසු	,	සීහා	,	මිගෙ	,	මරිංසු	,Past
	මාතරො භත‍්තානි පචිංසු	,	මාතරො	,	භත‍්තානි	,	පචිංසු	,Past
	අස‍්සා මග‍්ගෙ ධාවිංසු	,	අස‍්සා	,	මග‍්ගෙ	,	ධාවිංසු	,Past
	උපාසිකායො ධම‍්මං සුණිංසු	,	උපාසිකායො	,	ධම‍්මං	,	සුණිංසු	,Past
	උපාසකො විහාරං ගච‍්ඡි	,	උපාසකො	,	විහාරං	,	ගච‍්ඡි	,Past
	බුද‍්ධො ජෙතවනං අගමි	,	බුද‍්ධො	,	ජෙතවනං	,	අගමි	,Past
	කුමාරො හත්‍ථං ධොවි	,	කුමාරො	,	හත්‍ථං	,	ධොවි	,Past
	බාලකො පොත්‍ථකං පඨි	,	බාලකො	,	පොත්‍ථකං	,	පඨි	,Past
	වාණිජො භාණ‍්ඩං කිණි	,	වාණිජො	,	භාණ‍්ඩං	,	කිණි	,Past
	තාපසො වනෙ චරි	,	තාපසො	,	වනෙ	,	චරි	,Past
	සීහො මිගං මරි	,	සීහො	,	මිගං	,	මරි	,Past
	මාතා භත‍්තං පචි	,	මාතා	,	 භත‍්තං	,	පචි	,Past
	අස‍්සො මග‍්ගෙ ධාවි	,	අස‍්සො	,	මග‍්ගෙ	,	ධාවි	,Past
	උපාසිකා ධම‍්මං සුණි	,	උපාසිකා	,	ධම‍්මං	,	සුණි	,Past
	සෙවකො දණ‍්ඩෙක චොරෙ පහරි	,	සෙවකො	,	චොරෙ	,	පහරි	,Past
	කුටුම‍්බිසො රයෙහි හා ගච‍්ඡි	,	කුටුම‍්බිසො	,	රයෙහි	,	ගච‍්ඡි	,Past
	බාලසා ගෙණ‍්ඩුකෙහි කිළිංසු	,	බාලසා	,	ගෙණ‍්ඩුකෙහි	,	කිළිංසු	,Past
	ව්‍යාධා ලගුනෙන මීගං පහරි	,	ව්‍යාධා 	,	මීගං	,	පහරි	,Past
	මජ‍්ජාරො දත‍්තහි මුසිකං ගණණ‍්හි	,	මජ‍්ජාරො	,	මුසිකං	,	ගණණ‍්හි	,Past
	දාසො බන්‍ධෙන භාරං වහී	,	දාසො	,	භාරං	,	වහී	,Past
	මනුස‍්සා පොතෙන සමුදං නරිංසු	,	මනුස‍්සා	,	සමුදං	,	නරිංසු	,Past
	ගිජෙසධා නබෙහි නාගං ගණණ‍්හි	,	ගිජෙසධා	,	නාගං	,	ගණණ‍්හි	,Past
	ව්‍යයා ගානං මොරෙසි	,	ව්‍යයා	,	ගානං	,	මොරෙසි	,Past
	වාතෙන රුක‍්ඛා වලිංසු	,	වාතෙන	,	රුක‍්ඛා	,	වලිංසු	,Past
	අහං ඔදනං පචිං	,	අහං	,	ඔදනං	,	පචිං	,Past
	මයං ඔදනං පචිම‍්හා	,	මයං	,	ඔදනං	,	පචිම‍්හා	,Past
	සො ඔදනං අපචා	,	සො	,	ඔදනං	,	අපචා	,Past
	තෙ ඔදනං අපචු	,	තෙ 	,	ඔදනං	,	අපචු	,Past
	ත්‍වං ඔදනං අපවිසෙ	,	ත්‍වං	,	ඔදනං	,	අපවිසෙ	,Past
	තුම‍්හෙ ඔදනං අපචිව‍්හං	,	තුම‍්හෙ	,	ඔදනං	,	අපචිව‍්හං	,Past
	අහං ඔදනං පච	,	අහං	,	ඔදනං 	,	 පච	,Past
	මයං ඔදනං පච‍්ම‍්හෙ	,	මයං	,	ඔදනං 	,	පච‍්ම‍්හෙ	,Past
	පිතා පුත‍්තෙන සද‍්ධිං ගාමං ගච‍්ඡි	,	පිතා	,	ගාමං	,	ගච‍්ඡි	,Past
	ආචරියො සිස‍්සානං පොත්‍ථකානි අදාසි	,	ආචරියො	,	පොත්‍ථකානි	,	අදාසි	,Past
	ත්‍වං ඉමං පාඨං අපඨො	,	ත්‍වං	,	ඉමං පාඨං	,	අපඨො	,Past
	තුම‍්හෙ පාඨසාලං අගච‍්ඡිත්‍ථ	,	තුම‍්හෙ	,	පාඨසාලං	,	අගච‍්ඡිත්‍ථ	,Past
	අහං පොත්‍ථකං අකිණං	,	අහං	,	පොත්‍ථකං	,	අකිණං	,Past
	මයං යාවකානං ආහාරං අදදිම‍්හ	,	මයං	,	ආහාරං	,	අදදිම‍්හ	,Past
	පුප‍්ඵානි විකසිංසු	,	පුප‍්ඵානි	,		,	විකසිංසු	,Past
	වනිතා ගච‍්ඡි	,	වනිතා	,		,	ගච‍්ඡි	,Past
	ථෙරො අවදි	,	ථෙරො	,		,	අවදි	,Past
	වානරා රුක‍්ඛෙ ආරුහිංසු	,	වානරා 	,	රුක‍්ඛෙ	,	ආරුහිංසු	,Past
	මනුස‍්සා රුක‍්ඛං ජින්‍දංසු	,	මනුස‍්සා	,	රුක‍්ඛං	,	ජින්‍දංසු	,Past
	සො අභාසි	,	සො	,		,	අභාසි	,Past
	මනුස‍්සා හාසිංසු	,	මනුස‍්සා	,		,	හාසිංසු	,Past
	ත්‍වං භාසො	,	ත්‍වං 	,		,	භාසො	,Past
	තුම‍්හෙ අභාසිත්‍ථ	,	තුම‍්හෙ	,		,	අභාසිත්‍ථ	,Past
	අහං අභාසිං	,	අහං	,		,	අභාසිං	,Past
	මයං අභාසිම‍්හ	,	මයං	,		,	අභාසිම‍්හ	,Past
	සිගාලො වනං ගච‍්ඡි	,	සිගාලො	,	වනං 	,	ගච‍්ඡි	,Past
	සාරථී රථං ආනෙයි	,	සාරථී 	,	රථං	,	ආනෙයි	,Past
	මුනි ධම‍්මං අභාසි	,	මුනි	,	ධම‍්මං	,	අභාසි	,Past
	දණ‍්ඩි යඨිනා භොගං පහරි	,	දණ‍්ඩි	,	භොගං	,	පහරි	,Past
	කපයො අහිනො සීසං පහරිංසු	,	කපයො	,	අහිනො සීසං	,	පහරිංසු	,Past
	වනිතා ගාමං ගච‍්ඡි	,	වනිතා	,	ගාමං	,	ගච‍්ඡි	,Past
	බාලිකායො පාඨසාලං ගච‍්ඡිංසු	,	බාලිකායො	,	පාඨසාලං	,	ගච‍්ඡිංසු	,Past
	අයං බාලකො ගාමස‍්මිං ධාවි	,	අයං බාලිකා	,	ගාමස‍්මිං	,	ධාවි	,Past
	 ඉමා වනිතායො මාලං ආහරිංසු	,	ඉමා වනිතායො	,	මාලං	,	ආහරිංසු	,Past
	අයං බාලිකා ධම‍්මං උග‍්ගහි.	,	අයං බාලිකා	,	ධම‍්මං	,	උග‍්ගහි	,Past
	ඉමෙ කුමාරා නාවං ආරුහිංසු	,	ඉමෙ කුමාරා	,	නාවං	,	ආරුහිංසු	,Past
	ඉමෙ පුරිසා සුරං පිවිංසු	,	ඉමෙ පුරිසා	,	සුරං	,	පිවිංසු	,Past
	කුමාරස‍්ස පරිසා නගරං රක‍්ඛි. 	,	කුමාරස‍්ස පරිසා	,	නගරං	,	රක‍්ඛි	,Past
	වාණිජස‍්ස ඉමෙ මිත‍්තා වීණං ආහරිංසු	,	ඉමෙ මිත‍්තා	,	වීණං	,	ආහරිංසු	,Past
	නාවායො සමුද‍්දස‍්මිං ධාවිංසු	,	නාවායො	,	සමුද‍්දස‍්මිං	,	ධාවිංසු	,Past
	බාලකානං හත්‍ථෙසු වීණායො අත්‍ථි	,	බාලකානං	,	වීණායො	,	අත්‍ථි	,Past
	දාරිකාය ගීවායං මාලා අත්‍ථි 	,	දාරිකාය	,	 මාලා	,	 අත්‍ථි 	,Past
	දෙවතායො මනුස‍්සෙ රක‍්ඛංසු	,	දෙවතායො	,	මනුස‍්සෙ	,	රක‍්ඛංසු	,Past
	තුම‍්හෙ වනිතානං පුප‍්ඵානි දදිත්‍ථ 	,	තුම‍්හෙ	,	පුප‍්ඵානි	,	දදිත්‍ථ 	,Past
	අහං රුක‍්ඛස‍්ස ඡායායං නිසීදිං 	,	අහං	,	රුක‍්ඛස‍්ස	,	නිසීදිං	,Past
	සීහා ච සූකරා ච ගුහාසු වසිංසු	,	සීහා ච සූකරා ච	,	 ගුහාසු	,	වසිංසු	,Past
	ගංගායං නාවායො ගච‍්ඡිංසු	,	ගංගායං	,	 නාවායො 	,	ගච‍්ඡිංසු	,Past
	අහං දෙවතානං පුඤ‍්ඤං දදිං	,	අහං	,	දෙවතානං පුඤ‍්ඤං	,	දදිං	,Past
	කස‍්මා තුම‍්හෙ පරිසායං වීණං ගණ‍්හීත්‍ථ	,	තුම‍්හෙ	,	පරිසායං වීණං	,	ගණ‍්හීත්‍ථ	,Past
	ගොපාලස‍්ස හරියා ඛීරං ආහරි	,	ගොපාලස‍්ස	,	හරියා ඛීරං	,	ආහරි	,Past
	මයං දාරිකානං වීණායො දදිම‍්හ	,	මයං	,	දාරිකානං වීණායො	,	දදිම‍්හ	,Past
	ලතාසු පුප‍්ඵානී විකසන‍්ති	,	ලතාසු	,	පුප‍්ඵානී	,	විකසන‍්ති	,Past
	කස‍්මා ත්‍වං ගුහායං වසො	,	ත්‍වං	,	ගුහායං	,	වසො	,Past
	තුම‍්හෙ සුරං පිවිත්‍ථ	,	තුම‍්හෙ	,	සුරං	,	පිවිත්‍ථ	,Past
	ගිහීනො දානධම‍්මං කරිංසු	,	ගිහීනො	,	දානධම‍්මං	,	කරිංසු	,Past
	සිසූ පුච‍්ඡමානා වින්‍දිංසු	,	සිසූ	,	පුච‍්ඡමානා	,	වින්‍දිංසු	,Past
	මයං බුද‍්ධොපසම‍්පද මාගච‍්ඡිම‍්හ	,	මයං	,	බුද‍්ධොපසම‍්පද	,	මාගච‍්ඡිම‍්හ	,Past
	ඛත‍්තියසන‍්තකානි පුත‍්තානි අපරලොකං ගමිංසු	,	ඛත‍්තියසන‍්තකානි පුත‍්තානි	,	අපරලොකං	,	ගමිංසු	,Past
	භික‍්ඛු සමණධම‍්මං කරිංසු	,	භික‍්ඛු	,	සමණධම‍්මං	,	කරිංසු	,Past
	අහං විහාරෙ නිසීදිං	,	අහං	,	විහාරෙ	,	නිසීදිං	,Past
	තුම‍්හෙ සඞ‍්ඝස‍්ස පූජං කරීත්‍ථ	,	තුම‍්හෙ	,	සඞ‍්ඝස‍්ස පූජං	,	කරීත්‍ථ	,Past
	රාජා ජනන සමාදපයි	,	රාජා	,	ජනන	,	සමාදපයි	,Past
	මනුස‍්සා අවට‍්ටකානි සන්‍ධාසිංසු	,	මනුස‍්සා	,	අවට‍්ටකානි	,	සන්‍ධාසිංසු	,Past
	සත‍්තා බ්‍රහ‍්මස‍්ස සහබ්‍යතාය උපපජ‍්ජිංසු	,	සත‍්තා	,	බ්‍රහ‍්මස‍්ස සහබ්‍යතාය	,	උපපජ‍්ජිංසු	,Past
	අහං ආචරියපාදෙ වන්‍දිං	,	අහං	,	ආචරියපාදෙ	,	වන්‍දිං	,Past
	මයං බුද‍්ධස‍්ස ධම‍්මං පටිවිජ‍්ඣිම‍්හ	,	මයං	,	බුද‍්ධස‍්ස ධම‍්මං	,	පටිවිජ‍්ඣිම‍්හ	,Past
	තුම‍්හෙ සාමණෙරාන සික‍්ඛාපදානි පල‍්ලන‍්කමාරොපයිත්‍ථ	,	තුම‍්හෙ	,	සාමණෙරාන සික‍්ඛාපදානි	,	පල‍්ලන‍්කමාරොපයිත්‍ථ	,Past
	භික‍්ඛූ විහාරෙ වසිංසු	,	භික‍්ඛූ	,	විහාරෙ	,	වසිංසු	,Past
	සන්‍යමිත‍්තා අමිත‍්තානං කෙචි ඊසිංසු	,	සන්‍යමිත‍්තා	,	අමිත‍්තානං	,	ඊසිංසු	,Past
	රාජා සූරිංසු	,	රාජා	,		,	සූරිංසු	,Past
	ස ඔරභස‍්ස අරතිං උප‍්පාදෙසි	,	ස	,	ඔරභස‍්ස අරතිං	,	උප‍්පාදෙසි	,Past
	ගිහීනො දෙවතානං පූජං කරිංසු	,	ගිහීනො	,	දෙවතානං පූජං	,	කරිංසු	,Past
	කුලවතා සිද‍්ධාර්‍ථකං ආගමිංසු 	,	කුලවතා	,	සිද‍්ධාර්‍ථකං	,	ආගමිංසු	,Past
	භික‍්ඛූ ධාරයිංසු	,	භික‍්ඛූ	,		,	ධාරයිංසු	,Past
	පරිණායකා උපදිංසු	,	පරිණායකා	,		,	උපදිංසු	,Past
	ආචරිය මණ‍්ඩලං සන‍්නිපතිංසු	,	ආචරිය	,	මණ‍්ඩලං	,	සන‍්නිපතිංසු	,Past
	සස‍්සතා මජ‍්ඣිමපදෙසං ගච‍්ඡිංසු	,	සස‍්සතා	,	මජ‍්ඣිමපදෙසං	,	ගච‍්ඡිංසු	,Past
	පණ‍්ඩිතා ධම‍්මං අභාසිංසු	,	පණ‍්ඩිතා	,	ධම‍්මං	,	අභාසිංසු	,Past
	සාවකා ධම‍්මං සුණිංසු	,	සාවකා	,	ධම‍්මං	,	සුණිංසු	,Past
	මාතා පුත‍්තං පච‍්චනීකරොසි	,	මාතා	,	පුත‍්තං	,	පච‍්චනීකරොසි	,Past
	පිතා පුත‍්තස‍්ස ධනං දදං	,	පිතා	,	පුත‍්තස‍්ස ධනං	,	දදං	,Past
	රුක‍්ඛස‍්මා සාඛායො පතිංසු	,	රුක‍්ඛස‍්මා	,	සාඛායො	,	පතිංසු	,Past
	මන‍්ති හත්‍ථිනං ආරුහිස‍්සති	,	මන‍්ති 	,	 හත්‍ථිනං 	,	 ආරුහිස‍්සති	,Future
	මයං සෙට‍්ඨිනො ගෙහං ගමිස‍්සාම	,	මයං	,	සෙට‍්ඨිනො ගෙහං	,	ගමිස‍්සාම	,Future
	ත්‍වං සාමිනො පුත‍්තස‍්ස කපිං දදිස‍්සසි	,	ත්‍වං	,	 සාමිනො පුත‍්තස‍්ස කපිං	,	දදිස‍්සසි	,Future
	ගණිනො සුඛිනො භවිස‍්සන‍්ති	,	ගණිනො 	,	 සුඛිනො 	,	භවිස‍්සන‍්ති	,Future
	අම‍්හාකං සාමිනො දීඝජිවිනො න භවන‍්ති	,	අම‍්හාකං සාමිනො	,	දීඝජිවිනො	,	න භවන‍්ති	,Future
	පාපකාරී යට‍්ඨිනා භොගිං මාරෙස‍්සති	,	පාපකාරී	,	භොගිං	,	මාරෙස‍්සති	,Future
	භාතා වෙළුනා පක‍්ඛිං මාරෙස‍්සති	,	භාතා	,	පක‍්ඛිං	,	මාරෙස‍්සති	,Future
	මයං පුත‍්තා සෙට‍්ඨිනො ගාමෙ වසිස‍්සන‍්ති	,	මයං පුත‍්තා	,	සෙට‍්ඨිනො ගාමෙ	,	වසිස‍්සන‍්ති	,Future
	සිඛී ඡත‍්තිම‍්හා භායිස‍්සති	,	සිඛී 	,	 ඡත‍්තිම‍්හා 	,	 භායිස‍්සති	,Future
	සාරථි අස‍්සෙ ගාමම‍්හා හරිස‍්සති	,	සාරථි	,	අස‍්සෙ	,	හරිස‍්සති	,Future
	තුම‍්හෙ මාලීහි සසිනං ඔලොකෙස‍්සථ	,	තුම‍්හෙ	,	සසිනං	,	ඔලොකෙස‍්සථ	,Future
	කදා තුම‍්හෙ ධනවන‍්තං පස‍්සිස‍්සථ	,	තුම‍්හෙ	,	ධනවන‍්තං	,	පස‍්සිස‍්සථ	,Future
	බලී දාඨිනො කායං ඡින්‍දිස‍්සති	,	බලී	,	දාඨිනො කායං	,	ඡින්‍දිස‍්සති	,Future
	කුට‍්ඨි සාරථිනො පාදං යට‍්ඨිනා පහරිස‍්සති	,	කුට‍්ඨි	,	සාරථිනො පාදං	,	පහරිස‍්සති	,Future
	සෙට‍්ඨිනො මාලිනො පුරිසෙ පස‍්සිස‍්සන‍්ති	,	සෙට‍්ඨිනො 	,	මාලිනො	,	පස‍්සිස‍්සන‍්ති	,Future
	මයං ගෙහෙ ඔදනං භුඤ‍්ජිස‍්සාම	,	මයං	,	ඔදනං	,	භුඤ‍්ජිස‍්සාම	,Future
	සො හාසිස‍්සති	,	සො 	,		,	 හාසිස‍්සති	,Future
	භගවා අජ‍්ජ සොතාරානං ධම‍්මං දෙසෙස‍්සති	,	භගවා	,	සොතාරානං ධම‍්මං	,	දෙසෙස‍්සති	,Future
	ගාමං ගන‍්තා තරූසු කෙතවො පස‍්සිස‍්සති	,	ගාමං	,	තරූසු	,	පස‍්සිස‍්සති	,Future
	මනුස‍්සා හාසිස‍්සන‍්ති	,	මනුස‍්සා	,		,	 හාසිස‍්සන‍්ති	,Future
	ත්‍වං හාසිස‍්සයි	,	ත්‍වං 	,		,	 හාසිස‍්සයි	,Future
	තුම‍්හෙ හාසිස‍්ඵුථ	,	තුම‍්හෙ 	,		,	 හාසිස‍්ඵුථ	,Future
	අහං හාසිස‍්සාමි	,	අහං 	,		,	 හාසිස‍්සාමි	,Future
	අහං මම භාතරානං සිඛිනො වික‍්කිණිස‍්සාමි	,	අහං	,	භාතරානං	,	වික‍්කිණිස‍්සාමි	,Future
	මයං භාසිස‍්සාම	,	මයං 	,		,	 භාසිස‍්සාම	,Future
	මයං නෙතාරෙහි සහ සත්‍ථාරං පූජෙස‍්සාම	,	මයං	,	සත්‍ථාරං	,	පූජෙස‍්සාම	,Future
	මයං පිතරා සද‍්ධිං වෙළවො ආහරිස‍්සාම	,	මයං	,	 සද‍්ධිං	,	ආහරිස‍්සාම	,Future
